Unnamed: 0,Unnamed: 0.1,RA_deg,DEC_deg,coord_ra,coord_dec,object,Field,ccdnum,MJDObs,Obs,AIRMASS,SEEING,EXPTIME,base_PsfFlux_flux,base_PsfFlux_fluxSigma
159813,159813,308.5252714770227,-39.80205665369526,5.384781812883394,-0.6946769376722988,1040,1,24,57992.10106363,1.0,1.02,2.364,240.0,1348.7747123369952,79.1030959349725
159814,159814,308.5252369461863,-39.80208689699185,5.384781210206606,-0.6946774655174008,1040,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,1391.2387194697476,92.87369016599584
159815,159815,308.5253128643613,-39.802058950297436,5.384782535228722,-0.6946769777555685,1040,1,24,57996.12773527,3.0,1.02,2.522,240.0,1674.6691247982185,162.46822818708162
159816,159816,308.52507207307616,-39.683907633513925,5.384778332627986,-0.6926148482621292,1041,1,24,57992.10106363,1.0,1.02,2.364,240.0,4076.5696850172,84.32090885240204
159817,159817,308.52508572331953,-39.68392378372792,5.384778570869676,-0.6926151301365383,1041,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,4095.366904427089,97.45225195662638
159818,159818,308.52504729344525,-39.68388852549963,5.384777900141839,-0.6926145147643663,1041,1,24,57996.12773527,3.0,1.02,2.522,240.0,4019.344600975853,165.5600291471385
159819,159819,308.5256824889184,-39.77798851607373,5.38478898639424,-0.69425686942598,1044,1,24,57992.10106363,1.0,1.02,2.364,240.0,664.7291455176681,77.24925168010287
159820,159820,308.5257016797382,-39.77790936989711,5.384789321337231,-0.6942554880646076,1044,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,724.5720326758992,90.9228880608283
159821,159821,308.52656754377944,-39.796902960628046,5.384804433515625,-0.6945869887596386,1045,1,24,57992.10106363,1.0,1.02,2.364,240.0,9499.649184180436,96.69753483981162
159822,159822,308.526576393305,-39.796901677838115,5.384804587968984,-0.6945869663707308,1045,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,9303.605702294924,108.38437354903057
159823,159823,308.52657152519583,-39.796910411683605,5.38480450300445,-0.6945871188050908,1045,1,24,57996.12773527,3.0,1.02,2.522,240.0,9161.574638770777,171.9153644136189
159824,159824,308.52655186847375,-39.80925082176128,5.38480415992993,-0.6948024995919924,1046,1,24,57992.10106363,1.0,1.02,2.364,240.0,732.7263380223352,77.44428395755449
